column,status
sp_feature_seats_transit_stop,keep
sp_feature_seats_transit_stop_label,keep
sp_feature_short_wait,keep
sp_feature_short_wait_label,keep
sp_feature_weekend_frequency,keep
sp_feature_weekend_frequency_label,keep
sp_invitation,keep
sp_invitation_label,keep
sp_number_of_transfers,keep
sp_number_of_transfers_label,keep
sp_other_airport_comfort,delete
sp_other_airport_cost,delete
sp_other_airport_did_not_like,delete
sp_other_airport_ease_of_boarding,delete
sp_other_airport_ease_of_planning,delete
sp_other_airport_enough_capacity,delete
sp_other_airport_enough_room_to_stand,delete
sp_other_airport_enough_seats,delete
sp_other_airport_frequency_of_service,delete
sp_other_airport_list,keep
sp_other_airport_longer_operating_hours,delete
sp_other_airport_luggage_rack,delete
sp_other_airport_no_delays,delete
sp_other_airport_no_transfers,delete
sp_other_airport_other,delete
sp_other_airport_other_specify,delete
sp_other_airport_safety,delete
sp_other_airport_short_travel_time,delete
sp_other_airport_walking_distance,delete
sp_rental_choice_no_transit,delete
sp_rental_choice_no_transit_label,delete
sp_taxi_choice_dropoff_station,delete
sp_taxi_choice_dropoff_station_label,delete
state_of_residence,keep
state_of_residence_label,keep
stay_informed,keep
stay_informed_label,keep
initial_etc_check,delete
survey_language,keep
survey_language_label,keep
survey_language_other,keep
taxi_fhv_fare,keep
taxi_fhv_fare_numeric,keep
taxi_fhv_wait,keep
taxi_fhv_wait_numeric,keep
to_airport_transit_route_1,delete
to_airport_transit_route_1_other,delete
to_airport_transit_route_2,delete
to_airport_transit_route_2_other,delete
to_airport_transit_route_3,delete
to_airport_transit_route_3_other,delete
to_airport_transit_route_4,delete
to_airport_transit_route_4_other,delete
transit_alighting_latitude,keep
transit_alighting_longitude,keep
transit_alighting_stop_name,keep
transit_boarding_latitude,keep
transit_boarding_longitude,keep
transit_boarding_stop_name,keep
transit_routes_list,keep
trip_arrival_time,keep
trip_arrival_time_label,keep
trip_start_time,keep
trip_start_time_label,keep
valid_record_person,delete
valid_record_trip,delete
validation_error_person,delete
validation_error_trip,delete
validation_num_errors_person,delete
validation_num_errors_trip,delete
validation_severity_person,delete
validation_severity_trip,delete
weight_departing_and_arriving,keep
weight_departing_only,keep
weight_non_sas_departing_only,keep
