ETC_name,WSP_name
SDIA_ACCESS_SPLIT_14,sdia_accessmode_split_drove_with_others_and_parked
SDIA_ACCESS_SPLIT_15,sdia_accessmode_split_rode_with_other_travelers_and_parked
SDIA_ACCESS_SPLIT_16,sdia_accessmode_split_mts992
SDIA_ACCESS_SPLIT_17,sdia_accessmode_split_flyer_shuttle
SDIA_ACCESS_SPLIT_18,sdia_accessmode_split_other_public_transit
SDIA_ACCESS_SPLIT_21,sdia_accessmode_split_rental_car_dropped_off
SDIA_ACCESS_SPLIT_22,sdia_accessmode_split_rental_car_parked
SDIA_ACCESS_SPLIT_19,sdia_accessmode_split_chartered_tour_bus
SDIA_ACCESS_SPLIT_23,sdia_accessmode_split_hotel_shuttle_van
SDIA_ACCESS_SPLIT_20,sdia_accessmode_split_employee_shuttle
SDIA_ACCESS_SPLIT_24,sdia_accessmode_split_other_shared_van
SDIA_ACCESS_SPLIT_1,sdia_accessmode_split_walk
SDIA_ACCESS_SPLIT_2,sdia_accessmode_split_wheelchair
SDIA_ACCESS_SPLIT_3,sdia_accessmode_split_bicycle_electric_bikeshare
SDIA_ACCESS_SPLIT_4,sdia_accessmode_split_bicycle_non_electric_bikeshare
SDIA_ACCESS_SPLIT_6,sdia_accessmode_split_bicycle_personal_electric_bicycle
SDIA_ACCESS_SPLIT_7,sdia_accessmode_split_bicycle_personal_non_electric_bicycle
SDIA_ACCESS_SPLIT_5,sdia_accessmode_split_e_scooter_shared
SDIA_ACCESS_SPLIT_8,sdia_accessmode_split_e_scooter_personal
MODE_DECISION_Code_,sdia_accessmode_decision
MODE_DECISION,sdia_accessmode_decision_label
REVERSE_MODE_Code_,reverse_mode
REVERSE_MODE,reverse_mode_label
REVERSE_PREDICTED_Code_,reverse_mode_predicted
REVERSE_PREDICTED,reverse_mode_predicted_label
REVERSE_PREDICTED_Other_,reverse_mode_predicted_other
SDIA_TRANSIT_AWARE_Code_,sdia_transit_awareness
SDIA_TRANSIT_AWARE,sdia_transit_awareness_label
REASONS_NO_TRANSIT_1,reasons_no_transit_not_convenient
REASONS_NO_TRANSIT_2,reasons_no_transit_too_complicated
REASONS_NO_TRANSIT_3,reasons_no_transit_dont_know_how
REASONS_NO_TRANSIT_4,reasons_no_transit_no_good_options
REASONS_NO_TRANSIT_5,reasons_no_transit_not_flexible
REASONS_NO_TRANSIT_6,reasons_no_transit_not_reliable
REASONS_NO_TRANSIT_7,reasons_no_transit_not_safe
REASONS_NO_TRANSIT_8,reasons_no_transit_ride_too_long
REASONS_NO_TRANSIT_9,reasons_no_transit_wait_too_long
REASONS_NO_TRANSIT_10,reasons_no_transit_does_not_run_when_needed
REASONS_NO_TRANSIT_11,reasons_no_transit_too_many_transfers
REASONS_NO_TRANSIT_12,reasons_no_transit_stop_too_far
REASONS_NO_TRANSIT_13,reasons_no_transit_not_economical
REASONS_NO_TRANSIT_14,reasons_no_transit_dislike_crowded_trains_buses
REASONS_NO_TRANSIT_15,reasons_no_transit_too_much_walking_stairs
REASONS_NO_TRANSIT_16,reasons_no_transit_dislike_public_transport
REASONS_NO_TRANSIT_17,reasons_no_transit_dislike_public_transport_with_luggage
REASONS_NO_TRANSIT_18,reasons_no_transit_prefer_other_mode
GEN_TRANSIT_RESIDENT_Code_,general_use_transit_resident
GEN_TRANSIT_RESIDENT,general_use_transit_resident_label
GEN_TRANSIT_VISITOR_Code_,general_use_transit_visitor_home
GEN_TRANSIT_VISITOR,general_use_transit_visitor_home_label
GEN_MODES_VISITOR_9,general_modes_used_visitor_taxi
