column,value,label_value,count,count_share,label_count,label_share,date
reverse_mode_predicted,98.0,Other,2,0.02247191011235955,2.0,0.02247191011235955,2024-10-01
reverse_mode_predicted,9.0,Taxi,2,0.02247191011235955,2.0,0.02247191011235955,2024-10-01
reverse_mode_predicted,20.0,Employee shuttle,1,0.011235955056179775,1.0,0.011235955056179775,2024-10-01
reverse_mode_predicted,11.0,Car service/black car/limo/executive car,1,0.011235955056179775,1.0,0.011235955056179775,2024-10-01
reverse_mode_predicted,15.0,Rode with other traveler(s) and parked,1,0.011235955056179775,1.0,0.011235955056179775,2024-10-01
other_airport_accessmode,12.0,DROPPED OFF BY CAR BY FRIEND FAMILY,7,0.22580645161290322,7.0,0.22580645161290322,2024-10-01
other_airport_accessmode,10.0,UBER LYFT,7,0.22580645161290322,7.0,0.22580645161290322,2024-10-01
other_airport_accessmode,13.0,DROVE ALONE AND PARKED,5,0.16129032258064516,5.0,0.16129032258064516,2024-10-01
other_airport_accessmode,19.0,RENTAL CAR AND DROPPED IT OFF AT RENTAL AGENCY,4,0.12903225806451613,4.0,0.12903225806451613,2024-10-01
other_airport_accessmode,2.0,WHEELCHAIR OR OTHER MOBILITY DEVICE,2,0.06451612903225806,2.0,0.06451612903225806,2024-10-01
other_airport_accessmode,14.0,DROVE WITH OTHERS AND PARKED,2,0.06451612903225806,2.0,0.06451612903225806,2024-10-01
other_airport_accessmode,9.0,TAXI,1,0.03225806451612903,1.0,0.03225806451612903,2024-10-01
other_airport_accessmode,20.0,RENTAL CAR AND PARKED IT,1,0.03225806451612903,1.0,0.03225806451612903,2024-10-01
other_airport_accessmode,21.0,HOTEL SHUTTLE VAN,1,0.03225806451612903,1.0,0.03225806451612903,2024-10-01
other_airport_accessmode,1.0,WALK,1,0.03225806451612903,1.0,0.03225806451612903,2024-10-01
reverse_commute_mode,13.0,Get in a parked vehicle and drive alone,15,0.7142857142857143,15.0,0.7142857142857143,2024-10-01
reverse_commute_mode,1.0,Walk,2,0.09523809523809523,2.0,0.09523809523809523,2024-10-01
reverse_commute_mode,16.0,MTS Route 992,2,0.09523809523809523,2.0,0.09523809523809523,2024-10-01
reverse_commute_mode,18.0,Other public transit,1,0.047619047619047616,1.0,0.047619047619047616,2024-10-01
reverse_commute_mode,10.0,Uber/Lyft,1,0.047619047619047616,1.0,0.047619047619047616,2024-10-01
main_transit_mode,3,None of the above,256,0.9481481481481482,256.0,0.9481481481481482,2024-10-02
main_transit_mode,MTS_1_992,MTS Route 992,7,0.025925925925925925,7.0,0.025925925925925925,2024-10-02
main_transit_mode,SDA_1_FLYER,Airport flyer shuttle,7,0.025925925925925925,7.0,0.025925925925925925,2024-10-02
main_mode,10.0,Uber/Lyft,100,0.390625,100.0,0.390625,2024-10-02
main_mode,12.0,Dropped off by car by family/friend,77,0.30078125,77.0,0.30078125,2024-10-02
main_mode,13.0,Drove alone and parked,22,0.0859375,22.0,0.0859375,2024-10-02
main_mode,19.0,Rental car: Dropped off at rental agency,16,0.0625,16.0,0.0625,2024-10-02
main_mode,9.0,Taxi,10,0.0390625,10.0,0.0390625,2024-10-02
main_mode,21.0,Hotel shuttle van,7,0.02734375,7.0,0.02734375,2024-10-02
main_mode,11.0,Car service/black car/limo/executive car,6,0.0234375,6.0,0.0234375,2024-10-02
main_mode,14.0,Drove with others and parked,5,0.01953125,5.0,0.01953125,2024-10-02
main_mode,30.0,Other public transit,3,0.01171875,3.0,0.01171875,2024-10-02
main_mode,22.0,Other shared van (please specify),3,0.01171875,3.0,0.01171875,2024-10-02
main_mode,18.0,Employee shuttle,2,0.0078125,2.0,0.0078125,2024-10-02
main_mode,23.0,Picked up by car by family/friend,2,0.0078125,2.0,0.0078125,2024-10-02
main_mode,20.0,Rental car: parked rental car,2,0.0078125,2.0,0.0078125,2024-10-02
main_mode,29.0,Rode with other traveler(s) and parked,1,0.00390625,1.0,0.00390625,2024-10-02
access_mode,10.0,Uber/Lyft,4,0.3076923076923077,4.0,0.3076923076923077,2024-10-02
access_mode,1.0,Walk,4,0.3076923076923077,4.0,0.3076923076923077,2024-10-02
access_mode,16.0,Other public transit,2,0.15384615384615385,2.0,0.15384615384615385,2024-10-02
access_mode,13.0,Drove alone and parked,2,0.15384615384615385,2.0,0.15384615384615385,2024-10-02
access_mode,11.0,Car service/black car/limo/executive car,1,0.07692307692307693,1.0,0.07692307692307693,2024-10-02
egress_mode,14.0,Picked up by car by family/friend,1,1.0,1.0,1.0,2024-10-02
reverse_mode,10.0,Uber/Lyft,61,0.48031496062992124,61.0,0.48031496062992124,2024-10-02
reverse_mode,12.0,Dropped off by car by family/friend,23,0.18110236220472442,23.0,0.18110236220472442,2024-10-02
reverse_mode,9.0,Taxi,15,0.11811023622047244,15.0,0.11811023622047244,2024-10-02
reverse_mode,21.0,Rental car: Dropped off at rental agency,14,0.11023622047244094,14.0,0.11023622047244094,2024-10-02
reverse_mode,23.0,Hotel shuttle van,4,0.031496062992125984,4.0,0.031496062992125984,2024-10-02
reverse_mode,24.0,Other shared van (please specify),2,0.015748031496062992,2.0,0.015748031496062992,2024-10-02
reverse_mode,22.0,Rental car: parked rental car,2,0.015748031496062992,2.0,0.015748031496062992,2024-10-02
reverse_mode,1.0,Walk,2,0.015748031496062992,2.0,0.015748031496062992,2024-10-02
reverse_mode,11.0,Car service/black car/limo/executive car,2,0.015748031496062992,2.0,0.015748031496062992,2024-10-02
reverse_mode,17.0,Airport flyer shuttle,1,0.007874015748031496,1.0,0.007874015748031496,2024-10-02
reverse_mode,6.0,Bicycle: personal electric bicycle,1,0.007874015748031496,1.0,0.007874015748031496,2024-10-02
reverse_mode_predicted,12.0,Dropped off by car by family/friend,38,0.4222222222222222,38.0,0.4222222222222222,2024-10-02
reverse_mode_predicted,10.0,Uber/Lyft,29,0.32222222222222224,29.0,0.32222222222222224,2024-10-02
reverse_mode_predicted,14.0,Drove with others and parked,4,0.044444444444444446,4.0,0.044444444444444446,2024-10-02
reverse_mode_predicted,13.0,Drove alone and parked,4,0.044444444444444446,4.0,0.044444444444444446,2024-10-02
reverse_mode_predicted,11.0,Car service/black car/limo/executive car,4,0.044444444444444446,4.0,0.044444444444444446,2024-10-02
reverse_mode_predicted,16.0,MTS Route 992,3,0.03333333333333333,3.0,0.03333333333333333,2024-10-02
reverse_mode_predicted,98.0,Other,3,0.03333333333333333,3.0,0.03333333333333333,2024-10-02
reverse_mode_predicted,9.0,Taxi,2,0.022222222222222223,2.0,0.022222222222222223,2024-10-02
reverse_mode_predicted,24.0,Other shared van (please specify),2,0.022222222222222223,2.0,0.022222222222222223,2024-10-02
reverse_mode_predicted,18.0,Other public transit,1,0.011111111111111112,1.0,0.011111111111111112,2024-10-02
other_airport_accessmode,12.0,DROPPED OFF BY CAR BY FRIEND FAMILY,25,0.5952380952380952,25.0,0.5952380952380952,2024-10-02
other_airport_accessmode,13.0,DROVE ALONE AND PARKED,4,0.09523809523809523,4.0,0.09523809523809523,2024-10-02
other_airport_accessmode,10.0,UBER LYFT,3,0.07142857142857142,3.0,0.07142857142857142,2024-10-02
other_airport_accessmode,16.0,OTHER PUBLIC TRANSIT,2,0.047619047619047616,2.0,0.047619047619047616,2024-10-02
other_airport_accessmode,14.0,DROVE WITH OTHERS AND PARKED,2,0.047619047619047616,2.0,0.047619047619047616,2024-10-02
other_airport_accessmode,1.0,WALK,2,0.047619047619047616,2.0,0.047619047619047616,2024-10-02
other_airport_accessmode,2.0,WHEELCHAIR OR OTHER MOBILITY DEVICE,2,0.047619047619047616,2.0,0.047619047619047616,2024-10-02
other_airport_accessmode,20.0,RENTAL CAR AND PARKED IT,1,0.023809523809523808,1.0,0.023809523809523808,2024-10-02
