origin_latitude,origin_longitude,municipal_zone
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
32.7322259999998,-117.197539,2
32.733783,-117.193315,2
32.733783,-117.193315,2
32.733783,-117.193315,2
32.733783,-117.193315,2
32.733783,-117.193315,2
32.733783,-117.193315,2
32.733783,-117.193315,2
32.7326272999998,-117.204064,2
32.7326272999998,-117.204064,2
32.7322259999998,-117.197539,2
32.7322259999998,-117.197539,2
32.7326272999998,-117.204064,2
32.733783,-117.193315,2
32.733783,-117.193315,2
32.7322259999998,-117.197539,2
32.7326272999998,-117.204064,2
32.7326272999998,-117.204064,2
32.7326272999998,-117.204064,2
32.7326272999998,-117.204064,2
32.7326272999998,-117.204064,2
32.7326272999998,-117.204064,2
32.733783,-117.193315,2
32.733783,-117.193315,2
32.7326272999998,-117.204064,2
32.733783,-117.193315,2
32.7326272999998,-117.204064,2
