column,value,label_value,count,count_share,label_count,label_share
reverse_commute_mode,12.0,Picked up by car by family/friend,36,0.13333333333333333,36.0,0.13333333333333333
reverse_commute_mode,16.0,MTS Route 992,31,0.11481481481481481,31.0,0.11481481481481481
reverse_commute_mode,10.0,Uber/Lyft,11,0.040740740740740744,11.0,0.040740740740740744
reverse_commute_mode,14.0,Get in a parked vehicle and drive with others,10,0.037037037037037035,10.0,0.037037037037037035
reverse_commute_mode,17.0,Airport flyer shuttle,8,0.02962962962962963,8.0,0.02962962962962963
reverse_commute_mode,1.0,Walk,8,0.02962962962962963,8.0,0.02962962962962963
reverse_commute_mode,15.0,Get in a parked vehicle and ride with other traveler(s),4,0.014814814814814815,4.0,0.014814814814814815
reverse_commute_mode,18.0,Other public transit,3,0.011111111111111112,3.0,0.011111111111111112
reverse_commute_mode,11.0,Car service/black car/limo/executive car,1,0.003703703703703704,1.0,0.003703703703703704
reverse_commute_mode,98.0,Other,1,0.003703703703703704,1.0,0.003703703703703704
reverse_commute_mode,9.0,Taxi,1,0.003703703703703704,1.0,0.003703703703703704
